Curriculum (Scalar): Final Acc=0.0563, Max Len=10
Teacher Forcing (Fixed): Final Acc=0.0375, Max Len=10
Annealed Forcing: Final Acc=0.0781, Max Len=10
Resonant Teacher: Final Acc=0.0672, Max Len=10
Stability First: Final Acc=0.0516, Max Len=10
Handheld Harmonic: Final Acc=0.0609, Max Len=10
Scalar Resonance: Final Acc=0.0688, Max Len=10
Oscillator Lock: Final Acc=0.0578, Max Len=10
GRU (Scalar): Final Acc=0.0781, Max Len=10
GRU (One-Hot): Final Acc=0.0375, Max Len=10
