Curriculum (Scalar): Final Acc=0.3969, Max Len=20
Teacher Forcing (Fixed): Final Acc=0.9442, Max Len=200
Annealed Forcing: Final Acc=0.2872, Max Len=45
Resonant Teacher: Final Acc=0.8887, Max Len=200
Stability First: Final Acc=0.2348, Max Len=140
Handheld Harmonic: Final Acc=0.9995, Max Len=200
Scalar Resonance: Final Acc=0.9281, Max Len=15
Oscillator Lock: Final Acc=0.9929, Max Len=200
GRU (Scalar): Final Acc=0.7828, Max Len=10
GRU (One-Hot): Final Acc=0.8810, Max Len=120
